	QA	SL	FC	MV	LM	Iv	Ca	LT
G1	127.69	92.25	117.22	129.8	88.86	96.53	69.7	145.46
G2	126.06	75.44	116.96	122.42	102.61	78.15	84.3	108.37
G3	149.21	57.73	110.76	137.87	102.48	90.26	97.69	122.91
G4	125.15	86.67	109.62	126.67	100.51	87.79	96.18	132.16
G5	110.14	96.59	108.68	147.11	110.98	100.49	111.65	190.48
G6	165.67	111.52	140.55	178.31	146.32	104.48	108.75	
G7	113.77	86.86	94.21	118.25	106.52	112.03	94.37	130.14
G8	163.78	116.46	128.04	179.91	138.16	116.8	126.67	166.54
G9	122.67	98.88		129.16	112.45	84.17	113.74	143.55
G10	177.54	121.25	122.38	147.87	110.33	103.2	115.4	159.65
G11	160.97	121.61	110.81	140.7	117.57	107.85	103.54	153.75
G12	186.65	105.56	119.51	144.38	148.22	115.64	124.49	173.03
G13	136.12	103.95	140.53	168.03	146.31	118.29	124.72	163.95
G14	126.41	88.19	92.66	137.97	98.05	106.99	94.93	138.53
G15	171.29	97.83	143.54	156.35	122.55		121	159.37
G16	89.02	60.8	103.44	132.84	64.93	79.29	78.05	109.88
G17	147.69	110.04	133.07	161.04	148.79	120.92	133.98	166.84
G18	119.7	75.92	137.18	130.66	115.04	105.95	100.46	
G19	155.8	89.23	132.01	156.89	124.13	111.99	103.87	152.33
G20	111.53	80.69	98.85	112.4	93.31	88.69	93.95	122.35
