	QA	SL	FC	MV	LM	Iv	Ca	LT
G1	13.59	15.82	14.81	13.47	13.14	14.72	13.99	14.92
G2	11.12	13.54	12.04	11.35	12.11	11.91	10.8	14.77
G3	11.96	14.05	13.37	11.98	13.45	13.1	12.52	14.16
G4	12.34	13.32	11.73	11.04	11.73	13.79	13.16	14.29
G5	11.09	14.21	12.01	10.82	12.64	12.75	11.96	12.82
G6	13.87	14.34	14.15	13.06	12.36	13.26	12.57	14.04
G7	14.15	15.66	13.75	11.64	13.96	14.73	13.99	15.85
G8	12.88	14.08	13.93	13	12.43	13.64	13.76	13.5
G9	11.85	13.09	12.66	11.11	12.64	13.02	12.38	13.19
G10	11.92	14.48	13.35	11.76	11.38	13.12	13.3	14.35
G11	12.88	14.53	13.3	11.38	12.02	14.43	12.93	15.81
G12	12.75	14.6	13.62	14.79	13.09	14.37	13.73	15.33
G13	13.07	14.93	14.42	13.33	13.18	13.72	14.13	15.8
G14	12.45	13.86	12.33	10.65	13.1	12.92	12.64	14.29
G15	14.23	16.13	15.51	12.92	13.94	15.75	14.95	15.82
G16	14.34	17.14	16.34	14.1	15.91	15.27	15.51	17.72
G17	13.73	14.48	14.92	13.03	14.33	14.34	14.01	15.4
G18	13.59	15.44	14.1	14.22	13.37	15.46	14.74	14.91
G19	11.6	14.33	14.35	13.54	13.56	14.92	13.87	15.16
G20	13.48	14.55	15.94	13.72	16.35	15.55	14.94	16.99
